Plate,Well,Characteristics [Organism 1],Term Source 1 REF,Term Source 1 Accession,Characteristics [Organism 2],Term Source 2 REF,Term Source 2 Accession,Characteristics [Cell Line],Term Source 3 REF,Term Source 3 Accession,Compound Name,Compound SMILES,Compound IUPAC Name,Compound PubChem CID,Compound PubChem URL,Compound Unichem URL,Compound InChIKey,Compound Broad Identifier,Control Type,Quality Control,Channels,Percentage Inhibition (DPC),Hit Compound (over 75% activity),Phenotype Annotation Level,Number of Cells (DPC)
ESP0025769,A1,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,L-690330,CC(Oc1ccc(O)cc1)(P(O)(O)=O)P(O)(O)=O,[1-(4-hydroxyphenoxy)-1-phosphono-ethyl]phosphonic acid,132449,https://pubchem.ncbi.nlm.nih.gov/compound/132449,https://www.ebi.ac.uk/unichem/rest/inchikey/JKOCAAWWDVHWKB-UHFFFAOYSA-N,JKOCAAWWDVHWKB-UHFFFAOYSA-N,BRD-K28470988-001-04-6,,pass,cell body,"33,33",no,well level,12811
ESP0025769,A2,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,AMN-082,c1ccc(C(NCCNC(c2ccccc2)c2ccccc2)c2ccccc2)cc1,"N,N'-Bis(diphenylmethyl)-1,2-ethanediamine dihydrochloride",1894361,https://pubchem.ncbi.nlm.nih.gov/compound/1894361,https://www.ebi.ac.uk/unichem/rest/inchikey/DTZDSNQYNPNCPK-UHFFFAOYSA-N,DTZDSNQYNPNCPK-UHFFFAOYSA-N,"BRD-K23335153-300-03-3,BRD-K23335153-300-02-5,BRD-K23335153-300-08-9",,pass,cell body,"-8,07",no,well level,5166
ESP0025769,A3,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,gavestinel,O=C(/C=C/c1c(C(=O)[O-])[nH]c2cc(Cl)cc(Cl)c12)Nc1ccccc1,"4,6-Dichloro-3-[(1E)-3-oxo-3-(phenylamino)-1-propenyl]-1H-indole-2-carboxylic acid sodium salt",6450546,https://pubchem.ncbi.nlm.nih.gov/compound/6450546,https://www.ebi.ac.uk/unichem/rest/inchikey/WZBNEZWCNKUOSM-VOTSOKGWSA-N,WZBNEZWCNKUOSM-VOTSOKGWSA-N,"BRD-K81981783-236-02-9,BRD-K81981783-236-03-7,BRD-K81981783-236-01-1",,pass,cell body,"-0,03",no,well level,6650
ESP0025769,A4,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,L-Quisqualic-acid,N[C@@H](Cn1oc(=O)[nH]c1=O)C(O)=O,"(2S)-2-amino-3-(3,5-dioxo-1,2,4-oxadiazolidin-2-yl)propanoic acid",6971145,https://pubchem.ncbi.nlm.nih.gov/compound/6971145,https://www.ebi.ac.uk/unichem/rest/inchikey/ASNFTDCKZKHJSW-REOHCLBHSA-N,ASNFTDCKZKHJSW-REOHCLBHSA-N,"BRD-K92404805-001-07-0,BRD-K92404805-001-08-9",,pass,cell body,"5,52",no,well level,7676
ESP0025769,A5,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,CCT018159,CCc1cc(-c2n[nH]c(C)c2-c2ccc3c(c2)OCCO3)c(O)cc1O,"4-[4-(2,3-Dihydro-1,4-benzodioxin-6-yl)-5-methyl-1H-pyrazol-3-yl]-6-ethyl-1,3-benzenediol",984170,https://pubchem.ncbi.nlm.nih.gov/compound/984170,https://www.ebi.ac.uk/unichem/rest/inchikey/OWPMENVYXDJDOW-UHFFFAOYSA-N,OWPMENVYXDJDOW-UHFFFAOYSA-N,"BRD-K65503129-001-07-1,BRD-K65503129-001-06-3",,pass,cell body,"14,22",no,well level,9282
ESP0025769,A6,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,isotiquimide,CC=1C=CN=C2C(CCCC12)C(=S)N,"4-methyl-5,6,7,8-tetrahydroquinoline-8-carbothioamide",76961135,https://pubchem.ncbi.nlm.nih.gov/compound/76961135,https://www.ebi.ac.uk/unichem/rest/inchikey/PWPWEYFVLITGNU-SECBINFHSA-N,PWPWEYFVLITGNU-SECBINFHSA-N,BRD-A02933148-001-01-8,,pass,cell body,"6,73",no,well level,7898
ESP0025769,A7,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,7-methoxytacrine,COC=1C=CC=2N=C3CCCCC3=C(N)C2C1,"7-methoxy-1,2,3,4-tetrahydroacridin-9-amine",119053,https://pubchem.ncbi.nlm.nih.gov/compound/119053,https://www.ebi.ac.uk/unichem/rest/inchikey/APQPVVOYBLOJDY-UHFFFAOYSA-N,APQPVVOYBLOJDY-UHFFFAOYSA-N,BRD-K53156626-001-01-3,,pass,cell body,"4,06",no,well level,7406
ESP0025769,A8,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,ST-1859,OC=1C=CC=2C=CC=CC2C1CC=3C(O)=CC=C4C=CC=CC34,1-[(2-hydroxynaphthalen-1-yl)methyl]naphthalen-2-ol,14187,https://pubchem.ncbi.nlm.nih.gov/compound/14187,https://www.ebi.ac.uk/unichem/rest/inchikey/ZPANWZBSGMDWON-UHFFFAOYSA-N,ZPANWZBSGMDWON-UHFFFAOYSA-N,"BRD-K73524797-001-02-9,BRD-K73524797-001-01-1",,pass,cell body,"11,38",no,well level,8757
ESP0025769,A9,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,DEXIBUPROFEN,CC(C)Cc1ccc(cc1)[C@H](C)C(O)=O,2-(4-isobutylphenyl)propanoic acid,39912,https://pubchem.ncbi.nlm.nih.gov/compound/39912,https://www.ebi.ac.uk/unichem/rest/inchikey/HEFNNWSXXWATRW-JTQLQIEISA-N,HEFNNWSXXWATRW-JTQLQIEISA-N,"BRD-K14965640-001-13-2,BRD-K14965640-001-12-4,BRD-K14965640-001-14-9",,pass,cell body,"7,67",no,well level,8072
ESP0025769,A10,Homo sapiens,NCBITaxon,NCBITaxon_9606 ,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2 ,EFO,EFO_0001099,malic-acid,OC(CC(=O)O)C(=O)O,2-hydroxybutanedioic acid,222656,https://pubchem.ncbi.nlm.nih.gov/compound/222656,https://www.ebi.ac.uk/unichem/rest/inchikey/BJEPYKJPYRNKOW-REOHCLBHSA-N,BJEPYKJPYRNKOW-REOHCLBHSA-N,"BRD-A18396475-001-16-1,BRD-A18396475-001-15-3",,pass,cell body,"5,57",no,well level,7685
