Plate,Well,Characteristics [Organism 1],Term Source 1 REF,Term Source 1 Accession,Characteristics [Organism 2],Term Source 2 REF,Term Source 2 Accession,Characteristics [Cell Line],Term Source 3 REF,Term Source 3 Accession,Compound Identifier,Compound Name,Compound SMILES,Compound IUPAC Name,Compound PubChem CID,Compound PubChem URL,Compound Unichem URL,Compound Broad Identifier,Control Type,Channels,Compound Concentration (microMolar),Percentage Inhibition (DPC),Cells - Number of Objects,Hit Compound (over 75% activity),Phenoptye Annotation Level
ESP0025712,A1,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K82795137,LORATADINE,CCOC(=O)N1CCC(CC1)=C1c2ccc(Cl)cc2CCc2cccnc12,"ethyl 4-(13-chloro-4-azatricyclo[9.4.0.03,8]pentadeca-1(15),3(8),4,6,11,13-hexaen-2-ylidene)piperidine-1-carboxylate",3957,https://pubchem.ncbi.nlm.nih.gov/compound/3957,https://www.ebi.ac.uk/unichem/rest/inchikey/JCCNYMKQOSZNPW-UHFFFAOYSA-N,"BRD-K82795137-001-28-8,BRD-K82795137-001-26-2,BRD-K82795137-001-24-7,BRD-K82795137-001-29-9,BRD-K82795137-001-25-4",,cell body,20,"54,9",19819,yes,well level
ESP0025712,A2,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K62996583,lidoflazine,Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,"2-[4-[4,4-bis(4-fluorophenyl)butyl]piperazin-1-yl]-N-(2,6-dimethylphenyl)acetamide",3926,https://pubchem.ncbi.nlm.nih.gov/compound/3926,https://www.ebi.ac.uk/unichem/rest/inchikey/ZBIAKUMOEKILTF-UHFFFAOYSA-N,"BRD-K62996583-001-11-9,BRD-K62996583-001-10-3",,cell body,20,"70,28",23010,yes,well level
ESP0025712,A3,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K32218650,MBX-2982,CCC1=CN=C(N2CCC(C3=NC(COC4=CC=C(N5N=NN=C5)C=C4)=CS3)CC2)N=C1,2-[1-(5-ethylpyrimidin-2-yl)-4-piperidyl]-4-[[4-(tetrazol-1-yl)phenoxy]methyl]thiazole,25025505,https://pubchem.ncbi.nlm.nih.gov/compound/25025505,https://www.ebi.ac.uk/unichem/rest/inchikey/NFTMKHWBOINJGM-UHFFFAOYSA-N,"BRD-K32218650-001-01-6,BRD-K32218650-001-02-9",,cell body,20,"73,25",23627,yes,well level
ESP0025712,A4,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_A41774846,algestone-acetophenide,CC(=O)[C@@]12OC(C)(O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]21C)c1ccccc1,"(1R,2S,4R,8S,9S,12S,13R)-8-acetyl-6,9,13-trimethyl-6-phenyl-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icos-17-en-16-one",102011,https://pubchem.ncbi.nlm.nih.gov/compound/102011,https://www.ebi.ac.uk/unichem/rest/inchikey/AHBKIEXBQNRDNL-BXXPAUNWSA-N,,,cell body,20,"0,56",8544,yes,well level
ESP0025712,A5,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K04568635,Octenidine Dihydrochloride,CCCCCCCCN=c1ccn(CCCCCCCCCCn2ccc(=NCCCCCCCC)cc2)cc1,N-(1-[10-(4-(octylimino)-1(4H)-pyridinyl)decyl]-4(1H)-pyridinylidene)-1-octanamine,51167,https://pubchem.ncbi.nlm.nih.gov/compound/51167,https://www.ebi.ac.uk/unichem/rest/inchikey/ZVXNYZWXUADSRV-UHFFFAOYSA-N,BRD-K04568635-300-01-4,,cell body,20,"-3,4",7723,yes,well level
ESP0025712,A6,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K87909389,alvocidib,CN(CC3)C[C@@H](O)[C@H]3[C@]1=C(OC(C4=CC=CC=C4Cl)=CC2=O)C2=C(O)C=C1O,"2-(2-Chlorophenyl)-5,7-dihydroxy-8-[(3S,4R)-3-hydroxy-1-methyl-4-piperidinyl]-4H-1-benzopyran-4-one hydrochloride",5287969,https://pubchem.ncbi.nlm.nih.gov/compound/5287969,https://www.ebi.ac.uk/unichem/rest/inchikey/BIIVYFLTOXDAOV-YVEFUNNKSA-N,"BRD-K87909389-003-09-9,BRD-K87909389-003-04-2,BRD-K87909389-003-03-4",,cell body,20,"38,08",16329,yes,well level
ESP0025712,A7,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K97152684,PD-161570,ClC1=CC=CC(Cl)=C1C3=CC2=CN=C(NCCCCN(CC)CC)N=C2N=C3NC(NC(C)(C)C)=O,"N-[6-(2,6-Dichlorophenyl)-2-[[4-(diethylamino)butyl]amino]pyrido[2,3-d]pyrimidin-7-yl]-N'-(1,1-dimethylethyl)urea",5328135,https://pubchem.ncbi.nlm.nih.gov/compound/5328135,https://www.ebi.ac.uk/unichem/rest/inchikey/MKVMEJKNLUWFSQ-UHFFFAOYSA-N,"BRD-K97152684-001-02-7,BRD-K97152684-001-01-9,BRD-K97152684-001-03-9",,cell body,20,"12,96",11116,yes,well level
ESP0025712,A8,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K95573441,PFK-015,O=C(C1=CC=NC=C1)/C=C/C2=NC3=CC=CC=C3C=C2,(E)-1-(4-pyridyl)-3-(2-quinolyl)prop-2-en-1-one,25142799,https://pubchem.ncbi.nlm.nih.gov/compound/25142799,https://www.ebi.ac.uk/unichem/rest/inchikey/UJJUKZPBUMCSJZ-BQYQJAHWSA-N,"BRD-K95573441-001-02-0,BRD-K95573441-001-01-2",,cell body,20,"42,41",17228,yes,well level
ESP0025712,A9,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_A39255369,DCPIB,CCCCC1(CC2=C(C1=O)C(Cl)=C(Cl)C(OCCCC(O)=O)=C2)C1CCCC1,"4-[(2-Butyl-6,7-dichloro-2-cyclopentyl-2,3-dihydro-1-oxo-1H-inden-5-yl)oxy]butanoic acid",12761153,https://pubchem.ncbi.nlm.nih.gov/compound/12761153,https://www.ebi.ac.uk/unichem/rest/inchikey/KHKGTPJPBOQECW-QFIPXVFZSA-N,BRD-A39255369-001-03-1,,cell body,20,"61,74",21238,yes,well level
ESP0025712,A10,Homo sapiens,NCBITaxon,NCBITaxon_9606,Severe acute respiratory syndrome coronavirus 2,NCBITaxon,NCBITaxon_2697049,Caco-2,EFO,EFO_0001099,SPE_K95292280,SB-657510,BrC1=CC(OC)=C(OC)C=C1S(NC2=CC=C(Cl)C(O[C@H]3CN(C)CC3)=C2)(=O)=O,"2-Bromo-N-[4-chloro-3-[[(3R)-1-methyl-3-pyrrolidinyl]oxy]phenyl]-4,5-dimethoxybenzenesulfonamide",11272107,https://pubchem.ncbi.nlm.nih.gov/compound/11272107,https://www.ebi.ac.uk/unichem/rest/inchikey/KQCZCINJGIRLCD-CYBMUJFWSA-N,"BRD-K95292280-001-02-1,BRD-K95292280-001-01-3,BRD-K95292280-001-03-9",,cell body,20,"-3,68",7664,yes,well level
